source,title,authors,year,venue,doi,url
arXiv,Otaku: Intelligent Management System for Student-Intensive Dormitory,"Yuanzhe Jin, Chenrui Zhang, Maorong Wang",2021,arXiv preprint,,http://arxiv.org/abs/2104.07630v1
arXiv,Proceedings of the IFJ PAN Particle Physics Summer Student Alumni Conference 2022,"Derendarz Dominik, Rafal Staszewski, Maciej Trzebinski, Bhupesh Dixit, Alexia Mavrantoni, Monika Juzek, Michał Barej, Paula Erland, Izabela Babiarz, Jakub Jacek Malczewski, Grzegorz Czelusta, Valeriya Mykhaylova, Sara Ruiz Daza, Patrycja Potępa, Maciej Artur Giza, Roxana Busuioc",2022,arXiv preprint,,http://arxiv.org/abs/2210.13539v3
arXiv,LIUM Machine Translation Systems for WMT17 News Translation Task,"Mercedes García-Martínez, Ozan Caglayan, Walid Aransa, Adrien Bardet, Fethi Bougares, Loïc Barrault",2017,arXiv preprint,,http://arxiv.org/abs/1707.04499v1
arXiv,Student-Centered Distillation Narrows the Agentic Gap Between Small and Large LLMs,"Yuanjie Lyu, Chengyu Wang, Jun Huang, Tong Xu",2025,arXiv preprint,,http://arxiv.org/abs/2509.14257v3
arXiv,The Task-oriented Queries Benchmark (ToQB),Keun Soo Yim,2024,arXiv preprint,,http://arxiv.org/abs/2406.02943v1
arXiv,Development of Classroom Management Based on Student Learning Style Database,"Raditya Bayu Rahadian, C. Asri Budiningsih",2023,arXiv preprint,,http://arxiv.org/abs/2302.04057v1
arXiv,Retention in STEM: Factors Influencing Student Persistence and Employment,"Linli Zhou, Damji Heo Stratton, Xin Li",2023,arXiv preprint,,http://arxiv.org/abs/2311.14142v2
arXiv,Students' conceptual knowledge of energy and momentum,"Chandralekha Singh, David Rosengran",2016,arXiv preprint,,http://arxiv.org/abs/1602.07756v1
arXiv,Performance Analysis of Software to Hardware Task Migration in Codesign,"Dorsaf Sebai, Abderrazak Jemai, Imed Bennour",2010,arXiv preprint,,http://arxiv.org/abs/1002.1154v1
arXiv,Toward Defining a Domain Complexity Measure Across Domains,"Katarina Doctor, Christine Task, Eric Kildebeck, Mayank Kejriwal, Lawrence Holder, Russell Leong",2023,arXiv preprint,,http://arxiv.org/abs/2303.04141v1
arXiv,Privacy and Bias Analysis of Disclosure Avoidance Systems,"Keyu Zhu, Ferdinando Fioretto, Pascal Van Hentenryck, Saswat Das, Christine Task",2023,arXiv preprint,,http://arxiv.org/abs/2301.12204v1
arXiv,Architecting Data Quality for Continuous Student Behaviour Management,"Wayne Hellmuth, Glenn Stewart",2016,arXiv preprint,,http://arxiv.org/abs/1605.04687v1
arXiv,Student understanding of quantum mechanics at the beginning of graduate instruction,Chandralekha Singh,2016,arXiv preprint,,http://arxiv.org/abs/1602.06660v1
arXiv,NLIP_Lab-IITH Multilingual MT System for WAT24 MT Shared Task,"Maharaj Brahma, Pramit Sahoo, Maunendra Sankar Desarkar",2024,arXiv preprint,,http://arxiv.org/abs/2410.13443v1
arXiv,IoT-Driven Smart Management in Broiler Farming: Simulation of Remote Sensing and Control Systems,"Sandra Coello Suarez, V. Sanchez Padilla, Ronald Ponguillo-Intriago, Albert Espinal",2025,arXiv preprint,,http://arxiv.org/abs/2510.23356v1
arXiv,Finding Bottlenecks: Predicting Student Attrition with Unsupervised Classifier,"Seyed Sajjadi, Bruce Shapiro, Christopher McKinlay, Allen Sarkisyan, Carol Shubin, Efunwande Osoba",2017,arXiv preprint,,http://arxiv.org/abs/1705.02687v1
arXiv,Sentiment Analysis in Learning Management Systems Understanding Student Feedback at Scale,Mohammed Almutairi,2025,arXiv preprint,,http://arxiv.org/abs/2506.05490v1
